label,score,id_a,id_b,name_a,name_b,artist_a,artist_b,release-date_a,release-date_b,release-country_a,release-country_b
0,0.766,discogs_16366,mbrainz_5776,Monster Of The Absolute,Monster a-Go-Go,Paik,"Fuzztones, The",2006,1992-01-01,United States of America,United States of America
0,0.811,discogs_30089,mbrainz_17077,Return To Forever,Return to Forever,Seba,GB Arts,2008-09-01,1998-01-01,Germany,Germany
0,0.827,discogs_145583,mbrainz_9406,Congratulations,Congratulations,The Cry (3),BZN,1981,1991-01-01,Canada,Netherlands
0,0.784,discogs_71066,mbrainz_18388,Killing Monsters,Killing the Eternal,H.EXE,Cataract,2011-05-14,2010-09-27,Poland,Switzerland
0,0.781,discogs_175734,mbrainz_32672,Echoes EP,Echoes of the Spirit Still Dwell,Deepkeen,Spoken,2015-03-23,2000-10-03,United States of America,United States of America
0,0.863,discogs_157371,mbrainz_15139,Sunrise,Sunrise From the Treetops,Tobu,Hinkstep,2013-10-22,2011-10-25,,
0,0.881,discogs_9407,mbrainz_21265,Outside,Outside,Metal One,CFCF,2003,2013-11-19,Spain,
0,0.818,discogs_18986,mbrainz_3075,Burial,Sky Burial,Burial,Sky Burial,2006-12-13,2006-02,Japan,United States of America
0,0.811,discogs_73498,mbrainz_3774,Broken Mirrors,Broken Wings,Spittin Image,K'Lee,2004,2001-05,United States of America,New Zealand
0,0.841,discogs_134551,mbrainz_1739,Deep Purple Collection,Deep Purple,Deep Purple,Deep Purple,1982,1990-01-01,Belgium,Japan
0,0.853,discogs_84891,mbrainz_8151,California Gold,California Gold,Marc Seaberg,"Seaberg, Marc",1979,1979-01-01,France,Germany
0,0.766,discogs_115,mbrainz_5574,Beyond The Ozone EP,Beyond the Blue,Aubrey,Beyond the Blue,1998-01-01,1990-01-01,UK,Netherlands
0,0.779,discogs_74446,mbrainz_1812,Funeral Dress,Funeral Pyre,Wussy,"Jam, The",2005-01-01,1981-06-06,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.826,discogs_165987,mbrainz_2404,Face The Music,Face the Music,Electric Light Orchestra,Electric Light Orchestra,1975,1993-01-01,Japan,United States of America
0,0.768,discogs_85030,mbrainz_3891,Hidden Hunter,Hidden or Just Gone,Heil Spirits,Caboto,2008,2006-01-01,Australia,Italy
0,0.822,discogs_9649,mbrainz_12116,Contraband,Contraband,EX2,Madcon,2000,2010-12-03,United States of America,Norway
0,0.768,discogs_59802,mbrainz_11389,Spirit Smoke,Spirit of Sorrow,Quiet Evenings,Fear of Eternity,2011-02-06,2006-01-01,United States of America,United States of America
0,0.764,discogs_120534,mbrainz_6000,The Spirit Of '76: Music For Fifes And Drums ,The Spirit Of Space,Eastman Wind Ensemble,Release,,2008-05-17,United States of America,United States of America
0,0.786,discogs_14449,mbrainz_13493,Dreamland,Dreamland,Black Box,Bloody Blossom,1990,,France,
0,0.907,discogs_171795,mbrainz_1718,Get Ready,Get Ready,Why Blood,Traks,1980,1983-01-01,Germany,France
0,0.975,discogs_23943,mbrainz_5511,The Complete Singles Collection,The Complete Singles Collection,ABBA,ABBA,1999,1999-11-23,Germany,Germany
0,0.77,discogs_29382,mbrainz_22925,Resurrection,Resurrection,Fear Factory,Celtic Legacy,1998,2005-11-15,Germany,
0,0.769,discogs_3444,mbrainz_10121,Resurrection EP,Resurrection,Maniak,To Avoid,2003-03-01,2003-01,France,Germany
0,0.854,discogs_53175,mbrainz_2844,Singles Collection,Singles,The Exploited,Nirvana,1996,1995-12,UK,
0,0.8,discogs_49021,mbrainz_20300,"Glee: The Music, Season One, Volume 2","Glee: The Music: The Christmas Album, Volume 2",Glee Cast,Glee Cast,2009,2011-11-14,Australia,United Kingdom of Great Britain and Northern Ireland
0,0.806,discogs_35628,mbrainz_10547,Songs For Weddings And Funerals,Three Songs for Weddings and Funerals,The Illegal Artists,"Illegal Artists, The",1993,1993-01-01,Germany,Germany
0,0.839,discogs_28502,mbrainz_3524,Spiritual Vibes,Spiritual Dream,Ital,"Kosmos, Patrick",2008-06-01,2003-01-01,South America,Netherlands
0,0.769,discogs_16465,mbrainz_16285,Beyond The Fact,Beyond the Mirror,Toru S.,Jael,1995,1994-01-01,United States of America,Switzerland
0,0.774,discogs_3431,mbrainz_28437,Beyond The Darkness,Beyond Jipangu,Meat Katie,Opolopo,2002,2009-08-28,UK,
0,0.765,discogs_91134,mbrainz_3388,Broken,Broken Boy Soldiers,Malon Makes Lemonade,"Raconteurs, The",2012-05-01,2006-05-16,United States of America,United States of America
0,0.821,discogs_143304,mbrainz_19124,The Singles,The Singles Collection,Blank & Jones,Styx,2006,2000-09-26,Russia,
0,0.771,discogs_31505,mbrainz_8315,Black Ice,Black Cherry,AC/DC,Organic Grooves,2008-10-20,2002-01-01,United States of America,United States of America
0,0.898,discogs_11120,mbrainz_2140,MTV Unplugged,MTV Unplugged,Kiss,"10,000 Maniacs",1996,1993-10-26,United States of America,United States of America
0,0.821,discogs_113171,mbrainz_19124,The Singles,The Singles Collection,Ricki-Lee,Styx,2008,2000-09-26,Australia,
0,0.775,discogs_174311,mbrainz_26063,Beyond Embers And The Earth,Beyond Fate,Falloch,Die Pretty,2011-11-12,2012-05-08,UK,
0,0.786,discogs_135668,mbrainz_1493,The Singles Collection,The Singles Album,Nazareth (2),UB40,1990,1980-01-01,UK,United Kingdom of Great Britain and Northern Ireland
0,0.818,discogs_76217,mbrainz_24059,Beyond The Lightless Sky,Beyond the Shell,Hull,Odd Crew,2011-10-11,2012-06-09,United States of America,Bulgaria
0,0.803,discogs_40775,mbrainz_8158,Visions,Visions,DJ Oragami,Dan Pinto,2008-09-01,2000-01-01,United States of America,United States of America
0,1.0,discogs_24976,mbrainz_5730,Overgrown Town,Overgrown Town,Cross Bred Mongrels,Cross Bred Mongrels,1999,2000-01-01,Australia,Australia
0,0.781,discogs_10244,mbrainz_19663,Fearless,Fearless,The Bravery,"Noble, Keri",2005-05-23,2005-01-13,UK,Japan
0,0.887,discogs_31505,mbrainz_2530,Black Ice,Black Tempest,AC/DC,Hive Mind,2008-10-20,2005-01-01,United States of America,United States of America
0,0.789,discogs_16174,mbrainz_25921,Broken Wings,Broken,K'Lee,Letum,2001,2006-07-13,New Zealand,Sweden
0,0.77,discogs_8059,mbrainz_10188,Krush / Against The Grain,Ashes Against the Grain,Hive,Agalloch,2005-01-01,2007-03-02,UK,United States of America
0,0.916,discogs_104,mbrainz_8886,Surrender,Surrender,Seek,"Grit, The",2000-12-05,2007-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.786,discogs_68984,mbrainz_27790,Sunrise Over Jamul / Tobacco Road,Sunrise,Jamul,"Ford, Robben",1970,1999-01-01,United States of America,
0,0.805,discogs_135135,mbrainz_2368,The Obsidian Conspiracy,The Conspiracy of Silence,Nevermore,Underscore,2010,,Brazil,
0,0.769,discogs_36379,mbrainz_31892,The Dance Master Experience E.P.,The Dance of the Elves,Dancemaster,Windwalker,1993-01-01,1997-01-01,UK,Sweden
0,0.836,discogs_181281,mbrainz_31032,The Music Behind The Magic,The Music Behind the Magic,Alan Menken|Howard Ashman|Tim Rice,"Menken, Alan",1994,1994-11-22,United States of America,United States of America
0,0.976,discogs_54220,mbrainz_11308,Beyond Within And So On,Beyond Within and So On,Iszoloscope,Iszoloscope feat.,2010-09-07,2010-09-07,United States of America,
0,0.786,discogs_165350,mbrainz_26807,The Singles - Original Single Compilation Of The Year 1960 Vol. 1 ,The Singles,Various,DÅ¼em,,1992-01-01,Netherlands,Poland
0,0.886,discogs_11676,mbrainz_4197,Broken Peace,Broken Wax: The EP,Prong,Black Milk,1994,2006-11-10,United States of America,United States of America
0,0.764,discogs_40659,mbrainz_17001,Supernatural,Supernatural,Firefly,Tiger Milk,2000,2012-04-16,UK,Estonia
0,0.896,discogs_134923,mbrainz_4617,Confessions Part II Remix,Confessions,Usher,Usher,2004,2004-03-22,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.82,discogs_176847,mbrainz_5923,Garbage,Garbage Truck (orig.),Garbage,Fluf,2015-10-02,1992-01-01,United States of America,United States of America
0,0.847,discogs_12279,mbrainz_820,Armed And Extremely Dangerous,Armed and Extremely Dangerous,First Choice,First Choice,2004-05-24,1973-01-01,United States of America,United States of America
0,0.83,discogs_68271,mbrainz_14563,Resurrection,Resurrection,Nicol Sponberg,"Sponberg, Nicol",2004,2007-01-01,United States of America,United States of America
0,0.94,discogs_49716,mbrainz_17102,Je Vais Encore Dormir Tout Seul Ce Soir... (Et Je Vais Encore Le Regretter),Je vais encore dormir tout seul ce soir...,Elmer Food Beat,Elmer Food Beat,1991,1991-01-01,France,France
0,0.835,discogs_148627,mbrainz_29170,Listen To The Music,Don't Stop The Music,Shiggy Jr.,tofubeats,2014-10-15,2013-11-13,Japan,Japan
0,0.86,discogs_136625,mbrainz_15289,Homesick,Homesick,A Day To Remember,"Day to Remember, A",2013,2009-10-26,United States of America,United States of America
0,0.774,discogs_61967,mbrainz_2200,Echoes Of The Killed Life,Echoes of the West,Kaldur,Echo West,2009,2005-01-01,Russia,Germany
0,0.744,discogs_20579,mbrainz_16776,Immersion,Immersion,Anton Sonin|D.N.A. (6),Arian 1,2007-06-12,2010-03-26,Finland,Germany
0,0.757,discogs_134452,mbrainz_5914,California King Bed (Remixes),California (album),Rihanna,Residual Echoes,2011-07-19,2006-11-13,United States of America,United States of America
0,0.744,discogs_39006,mbrainz_14711,Visions,Visions of Eden,Stratovarius,Virgin Steele,2006,2006-09-08,Germany,Germany
0,0.756,discogs_21752,mbrainz_20434,State Of Clarity,Tears of Clarity EP,Guru,Antistase,2007-08-01,2013-09-17,United States of America,France
0,0.735,discogs_73269,mbrainz_1493,The Black Album,The Singles Album,Eden Park,UB40,1999,1980-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.74,discogs_179517,mbrainz_19198,Encore,Encore,Diadems,"Louvin Brothers, The",2003-01-01,1961-01-01,,United States of America
0,0.736,discogs_74380,mbrainz_9167,Broken Speak,Broken Dreams,I Was Born With Two Tongues,A Band Called Pain,1999,2007-07-10,United States of America,United States of America
0,0.748,discogs_141415,mbrainz_23778,J'essaie Encore,Reste encore,Kenza Farah,L5,2008,2003-11-04,Europe,France
0,0.736,discogs_153117,mbrainz_20740,Broken Glass,Broken Toy (album),Nacim Ladj,Veronica Falls (and others),2015-01-16,2013-10-22,Georgia,United Kingdom of Great Britain and Northern Ireland
0,0.75,discogs_143967,mbrainz_31125,Mail Order Monsters,Making Monsters,Mail Order Monsters,Church for Sinners,2014-08-28,2008-01-22,United States of America,United States of America
0,0.769,discogs_107226,mbrainz_3646,Teen Spirit,The Spirit of Malente,A*Teens,Malente,2002-01-14,2000-01-01,Germany,Germany
0,0.8,discogs_49392,mbrainz_2389,Classics,Classics,Orchester James Last,"FÃ¼rstenberg, Marko (and others)",1983,2005-09-08,Germany,
0,0.78,discogs_171766,mbrainz_3052,Echoes,Echoes of a Distant Present,Vitja,OPN,2013-12-13,2006-02-20,Germany,
0,0.972,discogs_68290,mbrainz_1903,Fever To Tell,Fever to Tell,Yeah Yeah Yeahs,Yeah Yeah Yeahs,2003,2003-01-01,UK,
0,0.847,discogs_12249,mbrainz_21213,The Music Band 2,The Music Inside,War,"Loeb, Chuck",1979,1996-06-18,United States of America,United States of America
0,0.837,discogs_18023,mbrainz_3341,Broken Heart EP,Broken Leg EP,DIN (2),Freestep,1997,2004-01-01,Germany,Hungary
0,0.931,discogs_718,mbrainz_65,Electronic Noise EP,Electronic Fragments EP,Relic,Skanfrom,2001-01-01,2000-01-01,Germany,Germany
0,0.992,discogs_140988,mbrainz_24467,Unplugged 1991,Unplugged 1991,R.E.M.,R.E.M.,2014-09-02,2014-09-01,United States of America,United States of America
0,0.917,discogs_743,mbrainz_430,Electronic Tax Return,Electronic Dream,Pimmon,Exzakt,2001-01-26,2001-01-01,United States of America,United States of America
0,0.775,discogs_31455,mbrainz_833,Beyond This World,Beyond This World,James Moody,Jungle Brothers,1978,1989-01-01,United States of America,United States of America
0,0.824,discogs_187002,mbrainz_1499,The Singles 80-86,THE SINGLES RE-MIXED,Venom (8),Chara,,1995-10-10,Poland,Japan
0,0.814,discogs_147539,mbrainz_26137,Beyond Around,Beyond,LV.4,"Redman, Joshua",2014-08-16,2000-04-04,Japan,
0,0.773,discogs_22360,mbrainz_31208,Random Spirit Lover,Nomad Spirit,Sunset Rubdown,Abaji,2007,2005-08-30,United States of America,
0,0.801,discogs_197628,mbrainz_1511,Discovery,Discovery EP,Electric Light Orchestra,"Flinsch, Holger",2001,2004-10-26,Australia,
0,0.786,discogs_41648,mbrainz_5250,I Surrender,Surrender,Robey,Suicide,1986,1988-01-01,United States of America,France
0,1.0,discogs_157018,mbrainz_27177,Madvillainy Instrumentals,Madvillainy Instrumentals,Madvillain,Madvillain,,2011-12-27,United States of America,United States of America
0,0.879,discogs_128673,mbrainz_33634,Funeral Home,Funeral Dress,Cremation Lily,Wussy,2014-03-07,2005-12-06,United States of America,United States of America
0,0.838,discogs_39510,mbrainz_20534,Butterfly,Butterfly Case,Tilt,Cuushe,2007,2013-09-11,UK,Japan
0,0.919,discogs_61919,mbrainz_8534,The First Days Of Spring,The First Days of Spring,Noah And The Whale,Noah and the Whale,2009-09-14,2009-10-06,Germany,United States of America
0,0.916,discogs_71139,mbrainz_15067,Such Power Is Dangerous!,Such Power Is Dangerous!,Cardinals Folly,Cardinals Folly,2011,2011-08-02,Finland,United States of America
0,0.775,discogs_121731,mbrainz_119,Mother Earth,Mother Earth,The Sweet,Dubtribe Sound System,1979,1993-01-01,United States of America,United States of America
0,0.803,discogs_44751,mbrainz_17850,Original Album Classics,Original Album Classics (album),Kris Kristofferson,Smokie,2009-09-25,2009-09-28,Europe,
0,0.782,discogs_58461,mbrainz_12997,Spirit Stories,Spirit Smoke,Joolz,Quiet Evenings,2008,2011-02-06,UK,United States of America
0,0.784,discogs_48653,mbrainz_18594,California Funk,California Jam 1978,Various,Aerosmith,2010,,UK,
0,0.822,discogs_118697,mbrainz_12092,Electronic Hits,Electronic World,Sash!,Kink Gong,,2010-01-01,Ukraine,United States of America
0,0.83,discogs_7353,mbrainz_9980,From Beyond,Far Beyond,Push,Farbo,2004,2010-01-10,Belgium,
0,0.781,discogs_38430,mbrainz_25820,Remedy,Remedy,Little Boots,Strange Celebrity,2009-06-22,,UK,
0,0.833,discogs_56056,mbrainz_1378,The Future Is Now,The Future is Listening,Eclier,UFO!,2010-11-01,2001-01-01,France,United States of America
0,0.802,discogs_167921,mbrainz_15586,Diversity EP1,Diversity,Gyasi Sanders|Shannon Chambers,Acid Reign,2015-02-07,2011-05-17,United States of America,United States of America
0,0.766,discogs_28824,mbrainz_13642,Broken Wing,Broken Wings,Chet Baker,C-Block,1989,1998-03-09,France,Germany
0,0.806,discogs_8977,mbrainz_18331,The Singles Collection,The Punk Singles Collection,The Specials,Special Duties,1991,1999-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.838,discogs_89060,mbrainz_1060,Mercury,Mercury and Plastic,Various,Vir Unis,1999,2002-10,United States of America,United States of America
0,0.798,discogs_142793,mbrainz_297,Trouble,Trouble With Boys,P!NK,Loreta,2003-11-11,2000-01-01,United States of America,Germany
0,0.794,discogs_180041,mbrainz_1766,Surrender,Surrender,Debby Boone,Kut Klose,,1995-03-14,United States of America,United States of America
0,0.975,discogs_31667,mbrainz_5896,The Dance Of The Moon And The Sun,The Dance of the Moon and the Sun,Natural Snow Buildings,Natural Snow Buildings,2008,2008-01-01,United States of America,United States of America
0,0.781,discogs_146142,mbrainz_5631,Broken Man,Broken Music,Cane N Able,Dissecting Table,1995,2008-01-14,Sweden,United States of America
0,0.853,discogs_10629,mbrainz_19124,The Singles Collection 03-05,The Singles Collection,Piano Overlord,Styx,2005-11-08,2000-09-26,United States of America,
0,0.798,discogs_117644,mbrainz_29935,Broken Toy,Broken World,Veronica Falls,Forsake the Fallen,2013-10-22,2014-09-05,UK,
0,0.815,discogs_68129,mbrainz_5415,Beyond The Black Crack,Beyond the Apocalypse,Anal Magic|Rev. Dwight Frizzell,1349,1976,2004-04-19,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.982,discogs_24280,mbrainz_5584,Beyond The Maze,Beyond the Maze,Dreadful Shadows,Dreadful Shadows,1998,1998-02,Germany,Germany
0,0.771,discogs_27860,mbrainz_573,Experience,Experience,Von Hertzen Brothers,York,2001-09-10,2001-03-12,Finland,United Kingdom of Great Britain and Northern Ireland
0,0.915,discogs_24399,mbrainz_1826,Among My Swan,Among My Swan,Mazzy Star,Mazzy Star,1996,1996-10-17,United States of America,Germany
0,0.775,discogs_10032,mbrainz_12079,Traveller EP,Traveller,Henri.Petterson,"Ilar, Anders",2005-06-16,2010-11-08,Germany,
0,0.792,discogs_157747,mbrainz_1160,Justified The Videos,Justified,Justin Timberlake,"Timberlake, Justin",2003,2003-06-30,Europe,Germany
0,0.858,discogs_174536,mbrainz_10944,"Glee: The Music, The Power Of Madonna","Glee: The Music, Volume 3: Showstoppers",Glee Cast,Glee Cast,2010,2010-05-18,Brazil,United States of America
0,0.836,discogs_734,mbrainz_32195,Inside The Outside,Inside the Outside,Trans-Dimensional Voice,Inside the Outside,2000,2002-03-26,,United States of America
0,0.821,discogs_2539,mbrainz_284,Let The Music Play,Let the Music Play,Charmein Dennis,Shannon,1994-07-11,1989-01-01,UK,Germany
0,0.764,discogs_73672,mbrainz_40,Simple Things (Work It Out),Simple Things,Shit Robot,Bougie Soliterre,,2000-01-01,,United Kingdom of Great Britain and Northern Ireland
0,0.772,discogs_14956,mbrainz_20378,Monster,Monster,Planet Jazz,Imagine Dragons,2006-06-01,2013-09-19,Germany,
0,0.794,discogs_38786,mbrainz_2082,The Future Was Shite,The Future of War,Vxm,Atari Teenage Riot,,1997-03-17,United States of America,Germany
0,0.786,discogs_5850,mbrainz_1241,Beyond Something,Beyond Our Comprehension,kAzooo,Mydriasis,2002-07-25,,Europe,United Kingdom of Great Britain and Northern Ireland
0,0.814,discogs_50164,mbrainz_17212,Blackout,Blackout: The Dark Years,2562,"Deep Eynde, The",2010-05-10,2008-01-01,UK,United States of America
0,0.767,discogs_25365,mbrainz_29214,The Music From Matthew Barney's Drawing Restraint 9,The Music Man,Björk,"Willson, Meredith",2005-08-02,1992-11-17,United States of America,United States of America
0,0.771,discogs_38430,mbrainz_13252,Remedy,Remedy,Little Boots,Manifesto Jukebox,2009-06-22,2002-01-01,UK,United States of America
0,0.975,discogs_16093,mbrainz_3746,Relapse,Relapse,Chiasm,Chiasm,2005-08-15,2005-06-07,United States of America,United States of America
0,1.0,discogs_23858,mbrainz_5482,The Rising,The Rising,Purple Code,Purple Code,2007-11-26,2007-11-26,Canada,
0,0.781,discogs_66219,mbrainz_8738,Brothers & Sisters,Brothers Grimm,WOWMOM,Drapht,2012-01-01,2008-05-18,Germany,Australia
0,0.797,discogs_41823,mbrainz_143,Fallen,Fallen (remix) / Bad Dreams,Sound Colours,Matrix,2009-10-31,2001-01-01,Netherlands,United Kingdom of Great Britain and Northern Ireland
0,0.845,discogs_84243,mbrainz_1238,Sunrise Breeze,Sunrise,Changer,Dub Kult,2012-03-26,2004-01-01,Germany,Germany
0,0.953,discogs_140990,mbrainz_24467,Unplugged  2001,Unplugged 1991,R.E.M.,R.E.M.,2014-09-02,2014-09-01,United States of America,United States of America
0,0.774,discogs_178451,mbrainz_13106,Singles 2003-2007,Singles Only,[T]ékël,"Briefs, The",2007-01-01,2005-02-15,Europe,Japan
0,0.769,discogs_182692,mbrainz_8227,Broken Moments E.P,Broken World,Sorrow (6),Engine-V,2011-10-31,2005-03,UK,Greece
0,0.823,discogs_18298,mbrainz_26063,Beyond Good And Evil,Beyond Fate,Atma,Die Pretty,2006-12-13,2012-05-08,United States of America,
0,0.778,discogs_7448,mbrainz_3388,Broken Spindles,Broken Boy Soldiers,Broken Spindles,"Raconteurs, The",2002-09-01,2006-05-16,United States of America,United States of America
0,0.783,discogs_54523,mbrainz_6188,The Best Of Return To Forever,The Best of New Riders of the Purple Sage,Return To Forever,New Riders of the Purple Sage,1980,1987-04-07,United States of America,United States of America
0,0.771,discogs_77295,mbrainz_21325,Kindred EP,Kindred,Burial,"Richards, Monica",2012-02-15,2013-10,,United States of America
0,0.878,discogs_38786,mbrainz_14111,The Future Was Shite,The Future Doesn't Need You,Vxm,Gripe,,2011-01-01,United States of America,United States of America
0,0.802,discogs_44193,mbrainz_7432,The Singles,The Singles,Delorean|The Elektrocution|Tokyo Sex Destruction,"Electric Prunes, The",2006,,France,
0,0.73,discogs_32513,mbrainz_11777,Elevator To Heaven,Elevator Love Letter,The Elevator Drops,Stars,,2003-07-13,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.747,discogs_7512,mbrainz_1676,Dangerous,Dangerous Thought,Eric Vesper,Yendri,2004-07-01,2002-02-22,Spain,Germany
0,0.73,discogs_63264,mbrainz_2511,Beyond These Shores,Beyond Rebellion,Iona,Shotgun Rationale,1993,1992-01-01,UK,Germany
0,0.754,discogs_93837,mbrainz_20354,Trouble,Trouble,Trampled By Turtles,"Kills, Natalia",2007-03-19,2013-09-03,United States of America,
0,0.737,discogs_88634,mbrainz_20678,Country Classics,Country Classics,Slim Whitman,"Snow, Hank",1997,1956-01-01,UK,United States of America
0,0.739,discogs_180913,mbrainz_2667,In Dreams,In Dreams,John Waite,"Orbison, Roy",1994,2006-01-01,Japan,
0,0.749,discogs_112558,mbrainz_5091,The Hammond Brothers,Dead Soul Brothers,The Hammond Brothers,Dead Soul Brothers,1966,2007-01-01,Germany,United Kingdom of Great Britain and Northern Ireland
0,0.76,discogs_49037,mbrainz_23388,Contrary To Prioritys,Contrary Motion,Flucturion,Nurse With Wound,2010-04-01,2014-03-07,Russia,Australia
0,0.736,discogs_101312,mbrainz_4616,California,California Livin',Dinero Negro,Mac Dre,1990,1991-01-01,Spain,United States of America
0,0.88,discogs_138536,mbrainz_2116,Trouble,Trouble,Akon,Akon,2003,2004-06-29,Australia,United States of America
0,0.879,discogs_157872,mbrainz_23986,Beyond The Reef,Beyond the Forest,Various,Valdrin,,2014-06-03,United States of America,United States of America
0,0.776,discogs_5700,mbrainz_1220,Beyond The Stars,Beyond Flatline,Ultrabeat (2),Seabound feat.,2001-01-23,2004-01-20,United States of America,United States of America
0,0.81,discogs_48484,mbrainz_10596,Visions Of Light,Visions of Light,Acrosome,Iron Thrones,,2008-11-21,United States of America,
0,0.81,discogs_20115,mbrainz_2422,Blackout,Blackout,Solano,"Koletzki, Oliver",2007-06-01,2005-09,Germany,Germany
0,0.767,discogs_14558,mbrainz_511,Dreamland,Dreamland Idle Orchestra,Robert Plant,Joseph Nothing,2002-07-16,2002-06-10,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.903,discogs_58810,mbrainz_13623,New Moon / Travel,New Moon,Almunia,Almunia,2011-01-01,2011-04-18,UK,United Kingdom of Great Britain and Northern Ireland
0,0.89,discogs_170766,mbrainz_8104,Empire Of The Fallen Angel (Eternal Black Dominion),Empire of the Fallen Angel,Demoncy,Demoncy,2015,2003-01-01,United States of America,United States of America
0,0.825,discogs_167688,mbrainz_24833,The Promise,The Promise,Deborah Cox,"Moran, Tony",2008-11-11,2004-01-01,,United States of America
0,0.983,discogs_85965,mbrainz_16168,Riot On The Dancefloor,Riot on the Dancefloor,Groove Coverage,Groove Coverage,2012-07-20,2012-03-30,Germany,Germany
0,0.829,discogs_39621,mbrainz_9620,Fallen Angel,Fallen Angel,Larry Coryell,Ð›Ð¸ÐºÐ°,1993,1994-01-01,UK,Russian Federation
0,0.924,discogs_4381,mbrainz_227,Sounds Like Trouble EP,Sounds Like Trouble EP,Hösh!,HÃ¶sh!,2002-01-01,2001-01-01,France,France
0,0.898,discogs_16686,mbrainz_3933,Blackout,Blackout,Black Time,PTI,2005,2004-01-01,United States of America,United States of America
0,0.86,discogs_68648,mbrainz_2025,Psychic-type Mix,Psychic Cat,Powwoww,"Ali, Kelli",2011-07-06,2005-01-25,United States of America,United States of America
0,0.84,discogs_14943,mbrainz_3466,The Great Escape,The Great Escape,Ilse DeLange,"DeLange, Ilse",2006-06-16,2007-02-02,Netherlands,Germany
0,0.89,discogs_41489,mbrainz_1215,In Absentia,In absentia,Geche,Tam Quam Tabula Rasa,2009-10-16,1989-01-01,,
0,0.813,discogs_65378,mbrainz_1002,Happiness,Happiness,Sharon Dee Clarke|Serious Rope,Wand,1993,,UK,
0,0.856,discogs_3453,mbrainz_5188,Fallen Angel,Fallen Leaves,Prism,Teenage Fanclub,1997,2005-05-23,UK,United Kingdom of Great Britain and Northern Ireland
0,0.809,discogs_84520,mbrainz_3823,Spirit,Spirit Man,Би-2,"Irvine, Weldon",2012-05-01,1975-01-01,Russia,United States of America
0,0.975,discogs_70370,mbrainz_13210,Blackbird,Blackbird,Alter Bridge,Alter Bridge,2007,2007-10-09,United States of America,United States of America
0,0.822,discogs_106076,mbrainz_1070,Electronic Earth,Electronic Ethnology,Labrinth,NetSlov,2012-04-02,2004-01-01,UK,Russian Federation
0,0.769,discogs_147539,mbrainz_26985,Beyond Around,Beyond Janis,LV.4,"Oster, Ulla",2014-08-16,1992-01-01,Japan,Germany
0,0.826,discogs_120272,mbrainz_8515,Supernatural,Supernatural,Eyedress,Santana,2013-12-02,1999-01-01,UK,United States of America
0,0.774,discogs_23583,mbrainz_15867,The Singles,The Singles,The Pretenders,Senseless Things,1987,,Yugoslavia,
0,0.789,discogs_118532,mbrainz_1834,Beyond Belief,Beyond the Gates,Torque (10),Cans,2013-10-25,2004-04-26,UK,Finland
0,0.763,discogs_11138,mbrainz_4595,The Mic And The Music,Three Times the Music,Breez Evahflowin'|Eric Krasno,"Eeben, Aleksi",2004,2007-04-24,United States of America,United States of America
0,0.783,discogs_56911,mbrainz_3466,The Great Escape,The Great Escape,Denny Greene,"DeLange, Ilse",1981,2007-02-02,United States of America,Germany
0,0.975,discogs_81946,mbrainz_16420,Comfort Eagle Sampler,Comfort Eagle Sampler,Cake,CAKE,2001,2001-01-01,United States of America,United States of America
0,0.766,discogs_9222,mbrainz_7404,Discovery,Discovery,Sonic Fusion,Vernian Process feat.,2001,2004-01-01,Germany,
0,0.829,discogs_24596,mbrainz_11940,Fallen Angels,Fallen Light,BSM (2),Phaeleh,,2010-10-25,UK,United Kingdom of Great Britain and Northern Ireland
0,0.775,discogs_110806,mbrainz_1082,Echoes,Echoes in the Emptiness,Rena Jones,Exuviae,2013-04-01,2000-01-01,United States of America,United States of America
0,0.771,discogs_28485,mbrainz_10331,Encores,Encores,Charlie Parker,"Perlman, Itzhak",1977,1974-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.832,discogs_10715,mbrainz_2449,Turn On The Music,Turn on the Music,Roger Sanchez|GTO (2),"Sanchez, Roger",2005-08-01,2005-01-01,Switzerland,Denmark
0,0.767,discogs_78395,mbrainz_20579,Welcome To The Dance,Welcome to the Nightmare,No Angels,Stellar Corpses,2009-09-11,2009-06-24,Germany,Germany
0,0.921,discogs_129807,mbrainz_15000,Garbage,Garbage / Version 2.0,Garbage,Garbage,,2008-09-15,Turkey,
0,0.799,discogs_472,mbrainz_1109,Beautiful Electronic Music,Brazil - Electronic Experience,Benge,M4J,1996-02-01,1998-01-01,UK,Brazil
0,0.784,discogs_196410,mbrainz_3374,Dreamland,Dreamland,Wild Belle,"Plant, Robert",2016-04-15,2002-07-16,United States of America,United States of America
0,0.817,discogs_11085,mbrainz_1135,California Love EP,California Love,2Pac,2Pac (and others),2004-09-27,1995-01-01,UK,United Kingdom of Great Britain and Northern Ireland
0,0.835,discogs_74273,mbrainz_3052,Echoes Of Silence,Echoes of a Distant Present,The Weeknd,OPN,2011-12-21,2006-02-20,Canada,
